search_mode,n_samples,avg_latency_ms,avg_faithfulness,avg_context_precision,avg_context_recall,avg_answer_accuracy,avg_bleu_score,avg_rouge_score,coverage_counts,clarity_counts,grounded_or_honest_refusal_counts,grounded_or_honest_refusal_pass_rate
semantic,118,28935.00907320338,0.7088858672192005,0.4580979284093052,0.5714924670433145,0.2563559322033898,0.07667634548202425,0.23286304160649676,"{""partial"": 75, ""complete"": 29, ""missing"": 14}","{""acceptable"": 94, ""unclear"": 12, ""clear"": 12}","{""pass"": 116, ""fail"": 2}",0.9830508474576272
text,118,29623.630854669427,0.7669837825010238,0.5763653483693918,0.620863599677159,0.2627118644067797,0.0785668601726446,0.21733676027233095,"{""partial"": 71, ""complete"": 31, ""missing"": 16}","{""acceptable"": 99, ""clear"": 12, ""unclear"": 7}","{""pass"": 118}",1.0
hybrid,118,28991.087166923717,0.7538224121557455,0.5549670432825093,0.6765536723163843,0.2860169491525424,0.0833352265430858,0.22564774992697145,"{""partial"": 69, ""complete"": 36, ""missing"": 13}","{""acceptable"": 94, ""unclear"": 12, ""clear"": 12}","{""pass"": 117, ""fail"": 1}",0.9915254237288136
